Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
SAMSUNG,Brown,Fully Automatic Top Load,0.0,700.0,4.3,4479,57726,30990.0
BOSCH,Grey,Fully Automatic Front Load,7.0,1400.0,4.4,834,9340,35900.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
Voltas,White,Semi Automatic Top Load,7.0,1300.0,4.3,153,2142,9740.0
ONIDA,Red,Semi Automatic Top Load,8.0,1450.0,4.2,939,10314,10490.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
LG,Black,Semi Automatic Top Load,5.0,1300.0,4.5,338,4245,16490.0
BOSCH,Maroon,Fully Automatic Top Load,8.0,1200.0,4.4,0,0,35490.0
Thomson,Grey,Semi Automatic Top Load,5.0,1120.0,3.9,10,132,9999.0
Godrej,Grey,Semi Automatic Top Load,6.0,1440.0,3.7,1,3,18800.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
Voltas,White,Semi Automatic Top Load,2.0,1350.0,4.3,371,4615,14990.0
ONIDA,Grey,Fully Automatic Top Load,5.0,700.0,4.2,1475,13614,13690.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
ONIDA,Grey,Fully Automatic Top Load,7.0,780.0,4.2,4648,40435,14190.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.1,175,2319,18490.0
Galanz,Silver,Fully Automatic Front Load,7.0,1200.0,4.0,289,1964,23990.0
Lloyd,Red,Semi Automatic Top Load,5.0,1400.0,4.3,82,891,13490.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
Godrej,Grey,Fully Automatic Top Load,7.0,720.0,4.3,146,1733,15990.0
SAMSUNG,Silver,Fully Automatic Top Load,7.0,700.0,4.1,9,66,23500.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
Intex,White,Fully Automatic Front Load,6.0,1000.0,3.9,42,180,22390.0
